ChEMBLID,Name,SMILES,MolecularWeight,ALogP,HBondDonors,HBondAcceptors,TPSA,RotatableBonds,MaxPhase_1,MaxPhase_2,MaxPhase_3,Source
CHEMBL409,BICALUTAMIDE,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,430.38,2.88,2,5,107.26,5,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,284.75,3.15,0,2,32.67,1,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL13,METOPROLOL,COCCc1ccc(OCC(O)CNC(C)C)cc1,267.37,1.61,2,4,50.72,9,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL411,DIETHYLSTILBESTROL,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,268.36,4.83,2,2,40.46,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL267936,MECAMYLAMINE,CNC1(C)C2CCC(C2)C1(C)C,167.3,2.42,1,1,12.03,1,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL14,CARBACHOL,C[N+](C)(C)CCOC(N)=O.[Cl-],182.65,-0.21,1,2,52.32,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL16,PHENYTOIN,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,252.27,1.77,2,2,58.2,2,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL413,SIROLIMUS,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,914.19,6.18,3,13,195.43,6,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL269732,TACROLIMUS ANHYDROUS,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,804.03,4.64,3,12,178.36,7,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL415,CLOMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,314.86,4.53,0,2,6.48,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL416,METHOXSALEN,COc1c2occc2cc2ccc(=O)oc12,216.19,2.55,0,4,52.58,1,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL17,DICHLORPHENAMIDE,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,305.16,0.29,2,4,120.32,2,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL18,ETHOXZOLAMIDE,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,258.32,1.34,1,5,82.28,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL417,EPIRUBICIN,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,543.53,0,6,12,206.07,5,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL19,METHAZOLAMIDE,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,236.28,-1.42,1,6,107.41,1,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL20,ACETAZOLAMIDE,CC(=O)Nc1nnc(S(N)(=O)=O)s1,222.25,-0.86,2,6,115.04,2,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL419,MAFENIDE,NCc1ccc(S(N)(=O)=O)cc1,186.24,-0.21,2,3,86.18,2,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL21,SULFANILAMIDE,Nc1ccc(S(N)(=O)=O)cc1,172.21,-0.08,2,3,86.18,1,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL420,GUANABENZ,N=C(N)N/N=C/c1c(Cl)cccc1Cl,231.09,1.81,3,2,74.26,2,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL22,TRIMETHOPRIM,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,290.32,1.26,2,7,105.51,5,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL6966,VERAPAMIL,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,454.61,5.09,0,6,63.95,13,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL421,SULFASALAZINE,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,398.4,3.7,3,7,141.31,6,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL23,DILTIAZEM,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,414.53,3.37,0,6,59.08,6,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL24,ATENOLOL,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,266.34,0.45,3,4,84.58,8,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL25,ASPIRIN,CC(=O)Oc1ccccc1C(=O)O,180.16,1.31,1,3,63.6,2,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL422,TRIFLUOPERAZINE,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,407.51,4.95,0,4,9.72,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL423,BETAXOLOL,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,307.43,2.39,2,4,50.72,11,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL425,OLSALAZINE,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O,302.24,2.91,4,6,139.78,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL27,PROPRANOLOL,CC(C)NCC(O)COc1cccc2ccccc12,259.35,2.58,2,3,41.49,6,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL427,MECHLORETHAMINE,CN(CCCl)CCCl,156.06,1.4,0,1,3.24,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL29,PENICILLIN G,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,334.4,0.86,2,4,86.71,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL30,CIMETIDINE,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,252.35,0.6,3,4,88.89,5,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL429,LABETALOL,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,328.41,2.14,4,4,95.58,8,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL32,MOXIFLOXACIN,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,401.44,2.37,2,6,83.8,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL33,LEVOFLOXACIN ANHYDROUS,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,361.37,1.54,1,6,75.01,2,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL430,GEMIFLOXACIN,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,389.39,0.97,2,8,123.04,5,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL431,SPIRAPRIL,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,466.63,2.39,2,7,95.94,9,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL433,VALPROATE SODIUM,CCCC(CCC)C(=O)[O-].[Na+],166.2,2.29,1,1,37.3,5,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL434,ISOPROTERENOL,CC(C)NCC(O)c1ccc(O)c(O)c1,211.26,1.13,4,4,72.72,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL435,HYDROCHLOROTHIAZIDE,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,297.75,-0.35,3,5,118.36,1,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL35,FUROSEMIDE,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,330.75,1.89,3,5,122.63,5,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL36,PYRIMETHAMINE,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,248.72,2.52,2,4,77.82,2,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL439,SULFADIAZINE,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,250.28,0.86,2,5,97.97,3,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL440,THIAMYLAL,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,254.35,1.52,2,3,58.2,5,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL441,THIOPENTAL,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,242.34,1.35,2,3,58.2,4,52,46,48,ChEMBL CC-BY-SA 3.0
CHEMBL38,TRETINOIN,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,300.44,5.6,1,1,37.3,5,52,46,48,ChEMBL CC-BY-SA 3.0
